1,4.8,5.2,5.2,4.160,1185
2,5.2,5.2,4.8,4.160,1183
3,4.4,5.6,5.2,4.252,1174
4,4.8,5.2,4.8,4.457,1174
5,4,5.6,5.6,4.421,1164
6,4,5.6,5.2,4.707,1164
7,4.4,5.2,5.2,4.516,1162
8,4.4,5.6,5.6,4.017,1162
9,5.2,5.2,4.4,4.516,1160
10,5.2,5.2,5.2,3.900,1160
11,4.4,5.2,5.6,4.252,1159
12,4.8,5.2,5.6,3.935,1158
13,4.8,5.6,4.8,4.200,1158
14,4.8,5.6,5.2,3.935,1156
15,4.8,4.8,5.2,4.457,1149
16,4.4,5.6,4.8,4.563,1147
17,5.2,5.6,4.8,3.935,1144
18,4,6,5.2,4.457,1142
19,4.4,6,5.2,4.047,1140
20,5.2,4.8,4.8,4.457,1140
21,4,5.2,5.6,4.707,1137
22,5.2,4.8,5.2,4.160,1134
23,4.8,4.8,5.6,4.200,1133
24,4,6,5.6,4.200,1133
25,5.2,5.6,4.4,4.252,1130
26,4.8,5.6,5.6,3.733,1121
27,4.4,6,4.8,4.328,1120
28,4.4,6,5.6,3.834,1118
29,4.8,5.6,4.4,4.563,1117
30,4,6,4.8,4.800,1113
31,4.4,4.8,5.6,4.563,1110
32,5.2,5.2,5.6,3.702,1109
33,5.2,5.6,5.2,3.702,1107
34,5.6,5.2,4.4,4.252,1106
35,5.6,5.2,4.8,3.935,1106
36,4.8,6,4.8,4.000,1104
37,5.2,4.8,5.6,3.935,1103
38,3.6,6,5.6,4.755,1103
39,4.8,6,5.2,3.759,1097
40,5.2,5.6,4,4.707,1077
41,5.2,6,4.8,3.759,1071
42,5.6,4.8,4.8,4.200,1071
43,5.6,5.6,4.4,4.017,1070
44,5.6,4.8,4.4,4.563,1069
45,5.6,5.6,4.8,3.733,1068
46,5.6,5.2,4,4.707,1067
47,4.8,6,4.4,4.328,1067
48,5.6,5.2,5.2,3.702,1063
49,4.4,6,4.4,4.714,1062
50,5.2,6,4.4,4.047,1059
51,4.8,6,5.6,3.574,1058
52,5.6,4.8,5.2,3.935,1048
53,5.2,5.6,5.6,3.523,1047
54,4.8,4.4,5.6,4.563,1043
55,4.8,7,4.8,3.652,1039
56,5.2,7,4.8,3.450,1037
57,5.2,6,5.2,3.545,1033
58,4.8,7,5.2,3.450,1032
59,5.2,4.4,5.2,4.516,1032
60,5.6,5.6,4,4.421,1032
61,4.4,7,5.2,3.691,1022
62,5.2,7,4.4,3.691,1017
63,5.2,4.4,5.6,4.252,1017
64,5.6,5.6,5.2,3.523,1016
65,5.6,4.8,5.6,3.733,1016
66,5.2,6,4,4.457,1014
67,4.8,6,4,4.800,1013
68,5.6,5.2,5.6,3.523,1008
69,5.2,7,5.2,3.269,1008
70,5.6,6,4.8,3.574,1005
71,4.4,7,4.8,3.924,1005
72,4.8,7,4.4,3.924,1005
73,5.6,6,4.4,3.834,1003
74,5.6,7,4.8,3.294,998
75,4.4,7,5.6,3.513,996
76,6,5.2,4.4,4.047,994
77,6,4.8,4,4.800,989
78,6,4.8,4.4,4.328,987
79,5.6,4.4,4.8,4.563,987
80,4.8,7,5.6,3.294,987
81,4,7,5.2,4.030,986
82,6,5.2,4,4.457,985
83,5.6,7,4.4,3.513,982
84,6,5.2,4.8,3.759,978
85,5.2,6,5.6,3.381,978
86,4,7,5.6,3.818,977
87,5.6,4.4,5.2,4.252,975
88,5.2,7,4,4.030,971
89,6,4.8,4.8,4.000,971
90,5.6,6,4,4.200,967
91,4.8,7,4,4.308,965
92,5.6,7,5.2,3.129,965
93,5.6,4.4,5.6,4.017,962
94,4,7,4.8,4.308,961
95,5.6,6,5.2,3.381,961
96,4.4,7,4.4,4.239,959
97,3.6,7,5.2,4.537,955
98,3.6,7,5.6,4.271,955
99,6,5.6,4.4,3.834,954
100,5.6,5.6,5.6,3.360,954
101,6,4.4,4.4,4.714,953
102,5.2,7,5.6,3.129,953
103,6,5.6,4.8,3.574,947
104,6,4.8,5.2,3.759,944
105,6,7,4.8,3.170,941
106,6,5.6,4,4.200,940
107,6,4.4,4.8,4.328,939
108,6,5.2,5.2,3.545,938
109,5.6,6,3.6,4.755,935
110,5.2,7,3.6,4.537,933
111,7,4.8,4,4.308,933
112,7,4.4,4,4.690,932
113,5.6,7,4,3.818,932
114,6,5.6,3.6,4.755,929
115,6,4,4.8,4.800,927
116,4.4,7,4,4.690,926
117,6,4.4,5.2,4.047,926
118,6,7,4.4,3.372,926
119,7,3.6,5.6,4.271,925
120,6,4.8,5.6,3.574,922
121,6,7,5.2,3.017,918
122,4,7,4.4,4.690,918
123,6,4.4,5.6,3.834,918
124,5.2,4,5.6,4.707,918
125,7,3.6,5.2,4.537,916
126,6,4,5.2,4.457,916
127,5.6,7,5.6,3.000,916
128,6,6,4.8,3.429,914
129,6,3.6,5.6,4.755,912
130,7,4,5.6,3.818,911
131,7,4.4,4.4,4.239,911
132,7,4.8,4.4,3.924,909
133,6,6,4.4,3.667,909
134,5.6,4,5.2,4.707,908
135,6,5.6,5.2,3.381,908
136,6,4,5.6,4.200,907
137,5.6,6,5.6,3.231,906
138,7,4,5.2,4.030,905
139,7,5.2,3.6,4.537,904
140,6,5.2,5.6,3.381,901
141,5.6,4,5.6,4.421,899
142,7,4,4.4,4.690,898
143,7,4,4.8,4.308,898
144,7,4.4,4.8,3.924,893
145,7,5.2,4,4.030,892
146,6,7,5.6,2.897,888
147,5.6,7,3.6,4.271,888
148,6,6,5.2,3.250,887
149,6,6,4,4.000,887
150,7,4.4,5.2,3.691,881
151,6,7,4,3.652,880
152,6,6,3.6,4.500,879
153,7,4.4,5.6,3.513,878
154,7,4.8,4.8,3.652,876
155,7,5.2,4.4,3.691,874
156,6,5.6,5.6,3.231,869
157,8,3.6,5.6,3.969,862
158,6,6,5.6,3.111,855
159,8,4,4,4.800,855
160,8,4,5.6,3.574,854
161,8,4.4,5.6,3.306,851
162,7,5.6,3.6,4.271,849
163,8,4.8,5.6,3.111,848
164,8,5.2,5.6,2.963,846
165,6,7,3.6,4.065,845
166,7,4.8,5.2,3.450,845
167,7,5.2,4.8,3.450,844
168,8,3.6,5.2,4.197,837
169,8,5.6,5.6,2.847,837
170,8,4.4,4,4.328,836
171,8,3.6,4.8,4.500,833
172,7,5.6,4,3.818,831
173,7,4.8,5.6,3.294,831
174,8,4,4.4,4.328,829
175,8,5.2,5.2,3.089,828
176,8,4,5.2,3.759,826
177,8,4.8,5.2,3.250,826
178,8,4.4,5.2,3.463,825
179,8,4.8,3.6,4.500,822
180,7,5.6,4.4,3.513,822
181,8,5.6,5.2,2.963,821
182,8,4.4,4.4,3.940,818
183,8,4,4.8,4.000,817
184,7,7,3.6,3.706,817
185,8,4.4,4.8,3.667,814
186,7,6,3.6,4.065,813
187,8,4.8,4.8,3.429,813
188,8,5.2,4.8,3.250,811
189,7,5.6,4.8,3.294,810
190,7,5.2,5.2,3.269,809
191,7,7,4.4,3.122,809
192,7,7,4,3.360,808
193,8,4.8,4,4.000,805
194,8,4.8,4.4,3.667,805
195,8,5.6,4.8,3.111,802
196,8,6,5.6,2.754,797
197,7,7,4.8,2.947,796
198,7,5.2,5.6,3.129,794
199,7,6,4,3.652,791
200,7,5.6,5.2,3.129,790
201,7,6,5.6,2.897,789
202,7,6,4.8,3.170,789
203,7,6,4.4,3.372,788
204,8,5.2,4.4,3.463,785
205,7,5.6,5.6,3.000,785
206,8,6,5.2,2.862,784
207,7,6,5.2,3.017,784
208,8,6,4.8,3.000,775
209,7,7,5.2,2.814,774
210,7,7,5.6,2.710,773
211,8,5.2,3.6,4.197,767
212,8,5.6,4.4,3.306,766
213,8,5.2,4,3.759,762
214,8,6,4.4,3.181,745
215,8,7,3.6,3.476,733
216,8,5.6,4,3.574,728
217,8,5.6,3.6,3.969,725
218,8,6,3.6,3.789,712
219,8,6,4,3.429,710
220,8,7,4,3.170,709
221,8,7,4.4,2.957,706
222,8,7,4.8,2.800,684
223,8,7,5.6,2.585,650
224,8,7,5.2,2.680,648